,title,price,location,sales
390,诺基亚2610,36.0,广东 深圳,551人收货
391,苹果 iPhone XS Max,3170.0,广东 深圳,545人收货
392,Huawei,2599.0,广东 深圳,543人收货
393,Xiaomi,2499.0,山东 济南,541人收货
394,Huawei,2499.0,上海,539人收货
395,华为mate30,3388.0,广东 深圳,536人收货
397,朵唯A55,399.0,广东 深圳,534人收货
398,苹果iPhone 11,5299.0,湖北 武汉,533人收货
399,苹果 iPhone XR,3550.0,广东 深圳,532人收货
400,Huawei,6399.0,山东 济南,532人收货
401,苹果 iPhone 8,2350.0,广东 深圳,532人收货
402,iPhone 6splus ,850.0,广东 深圳,532人收货
403,vivo X27,2498.0,广东 东莞,531人收货
404,Xiaomi,209.0,广东 深圳,531人收货
405,Xiaomi,799.0,广东 深圳,530人收货
406,vivo S1Pro3200,1698.0,广东 东莞,528人收货
407,Nokia,29.0,广东 深圳,524人收货
408,苹果 iPhone 11Pro Max ,3465.0,广东 深圳,524人收货
409,华为,899.0,广东 深圳,522人收货
410,Huawei,1799.0,安徽 合肥,521人收货
411,YEPEN,99.0,广东 深圳,520人收货
412,华为HONOR,2699.0,上海,520人收货
413,Huawei,1449.0,广东 深圳,514人收货
414,华为,1399.0,江苏 南京,513人收货
415,Xiaomi,1169.0,广东 深圳,510人收货
416,华为honor,699.0,广东 深圳,504人收货
417,苹果 iPhone XR ,2398.0,上海,503人收货
418,Xiaomi,528.0,广东 深圳,503人收货
419,Huawei,1599.0,广东 深圳,503人收货
420,Samsung,49.0,广东 深圳,501人收货
422,Xiaomi,478.0,广东 深圳,499人收货
423,OPPO A5 ,899.0,广东 东莞,499人收货
425,诺基亚,208.0,广东 深圳,497人收货
426,Huawei,6399.0,浙江 杭州,497人收货
427,vivo Z5 ,1398.0,上海,496人收货
428,Meizu,2098.0,广东 珠海,496人收货
429,苹果 iPhone 8 Plus,1850.0,广东 深圳,494人收货
430,华为,1699.0,广东 深圳,494人收货
431,Nokia,119.0,广东 深圳,494人收货
432,Meizu,213.0,广东 深圳,493人收货
433,小米9,2449.0,山东 济南,491人收货
434,苹果 iPhone XR 64G,4799.0,江苏 南京,489人收货
435,Xiaomi,999.0,上海,485人收货
436,红米7A,579.0,北京,485人收货
437,OPPO A57,342.0,广东 深圳,485人收货
438,苹果11 Apple,5249.0,广东 广州,485人收货
439,vivo,598.0,广东 深圳,482人收货
440,华为nova5,1378.0,广东 深圳,481人收货
441,Samsung,1888.0,上海,480人收货
442,Meizu,195.0,广东 深圳,479人收货
443,苹果 iPhone 11,5088.0,浙江 杭州,478人收货
444,Nokia,48.0,广东 深圳,477人收货
445,Xiaomi,928.0,广东 深圳,477人收货
446,一加七 8 1,1729.0,广东 深圳,477人收货
447,苹果 iPhone 11,4888.0,广东 深圳,476人收货
448,华为 Mate 30 5G,4999.0,山东 济南,475人收货
449,苹果 iPhone 8 ,3499.0,江苏 南京,474人收货
450,Huawei,1938.0,河南 郑州,474人收货
451,苹果 iPhone 11 Pro Max,3598.0,广东 深圳,473人收货
452,华为honor,999.0,广东 深圳,471人收货
453,OPPO K5 oppok5,1799.0,湖北 武汉,471人收货
454,苹果iPhone 11 ,5048.0,上海,469人收货
455,Huawei,3388.0,安徽 合肥,469人收货
456,小米CC9 Pro 1,2799.0,江苏 南京,467人收货
457,华为,1699.0,广东 深圳,466人收货
458,小米8,1138.0,广东 惠州,466人收货
459,Xiaomi,2098.0,广东 深圳,465人收货
460,苹果 iPhone XR ,3500.0,广东 深圳,465人收货
461,华为,899.0,江苏 南京,465人收货
462,Xiaomi,2299.0,广东 深圳,465人收货
463,vivo iQOOPro5G,3498.0,上海,465人收货
464,小米CC9e4800,1199.0,北京,464人收货
465,华为HONOR,1199.0,上海,464人收货
466,OPPO Reno Ace,2999.0,广东 广州,462人收货
468,Meizu,235.0,广东 深圳,458人收货
469,Xiaomi,649.0,浙江 杭州,458人收货
470,华为,1099.0,广东 深圳,458人收货
471,Xiaomi,1099.0,山东 济南,456人收货
473,苹果 iPhone 11 Pro max,3529.0,上海,455人收货
474,Samsung,2998.0,广东 深圳,453人收货
475,苹果 iPhone XS Max,2100.0,广东 深圳,453人收货
476,小辣椒,358.0,广东 深圳,452人收货
477,Xiaomi,2339.0,广东 深圳,452人收货
478,华为honor,1099.0,广东 深圳,450人收货
479,华为nova6,2048.0,广东 深圳,448人收货
480,Huawei,295.0,广东 深圳,447人收货
481,Xiaomi,1169.0,河南 郑州,445人收货
482,一加七 ,2149.0,广东 深圳,444人收货
483,苹果 iPhone XS Max ,1440.0,广东 深圳,444人收货
484,朵唯X11 Pro,699.0,广东 深圳,443人收货
485,OPPO R17,1368.0,浙江 杭州,442人收货
486,vivo iQOO Neo 855,2198.0,广东 东莞,440人收货
487,华为honor,528.0,广东 深圳,440人收货
488,苹果 iPhone 11 Pro Max,4950.0,天津,439人收货
489,小米CC9 ,1499.0,江苏 南京,439人收货
